unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,id,zip,borough,neighborhood
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,12/1/2010,30.1,206,11230,Brooklyn,Borough Park
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,12/1/2010,30.1,206,11204,Brooklyn,Borough Park
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,12/1/2010,30.1,206,11218,Brooklyn,Borough Park
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,12/1/2010,30.1,206,11219,Brooklyn,Borough Park
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,12/1/2012,20.23,206,11230,Brooklyn,Borough Park
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,12/1/2012,20.23,206,11204,Brooklyn,Borough Park
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,12/1/2012,20.23,206,11218,Brooklyn,Borough Park
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,12/1/2012,20.23,206,11219,Brooklyn,Borough Park
176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2013,12/1/2012,23.73,106,10451,Bronx,High Bridge and Morrisania
176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2013,12/1/2012,23.73,106,10452,Bronx,High Bridge and Morrisania
176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2013,12/1/2012,23.73,106,10456,Bronx,High Bridge and Morrisania
336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/1/2014,26,106,10451,Bronx,High Bridge and Morrisania
336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/1/2014,26,106,10452,Bronx,High Bridge and Morrisania
336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/1/2014,26,106,10456,Bronx,High Bridge and Morrisania
740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2021,1/1/2021,18.04,106,10451,Bronx,High Bridge and Morrisania
740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2021,1/1/2021,18.04,106,10452,Bronx,High Bridge and Morrisania
740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2021,1/1/2021,18.04,106,10456,Bronx,High Bridge and Morrisania
175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,12/1/2010,28.44,209,11228,Brooklyn,Southwest Brooklyn
175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,12/1/2010,28.44,209,11209,Brooklyn,Southwest Brooklyn
175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,12/1/2010,28.44,209,11214,Brooklyn,Southwest Brooklyn
175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,6/1/2009,18.95,209,11228,Brooklyn,Southwest Brooklyn
175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,6/1/2009,18.95,209,11209,Brooklyn,Southwest Brooklyn
175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,6/1/2009,18.95,209,11214,Brooklyn,Southwest Brooklyn
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,6/1/2009,15.22,210,11229,Brooklyn,Southern Brooklyn
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,6/1/2009,15.22,210,11235,Brooklyn,Southern Brooklyn
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,6/1/2009,15.22,210,11223,Brooklyn,Southern Brooklyn
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,6/1/2009,15.22,210,11224,Brooklyn,Southern Brooklyn
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/1/2010,25.7,210,11229,Brooklyn,Southern Brooklyn
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/1/2010,25.7,210,11235,Brooklyn,Southern Brooklyn
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/1/2010,25.7,210,11223,Brooklyn,Southern Brooklyn
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/1/2010,25.7,210,11224,Brooklyn,Southern Brooklyn
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/2012,16.36,210,11229,Brooklyn,Southern Brooklyn
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/2012,16.36,210,11235,Brooklyn,Southern Brooklyn
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/2012,16.36,210,11223,Brooklyn,Southern Brooklyn
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/2012,16.36,210,11224,Brooklyn,Southern Brooklyn
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,1/1/2021,11.41,410,11691,Queens,Rockaways
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,1/1/2021,11.41,410,11692,Queens,Rockaways
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,1/1/2021,11.41,410,11693,Queens,Rockaways
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,1/1/2021,11.41,410,11694,Queens,Rockaways
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,1/1/2021,11.41,410,11697,Queens,Rockaways
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,6/1/2009,23,107,10454,Bronx,Hunts Point and Mott Haven
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,6/1/2009,23,107,10455,Bronx,Hunts Point and Mott Haven
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,6/1/2009,23,107,10459,Bronx,Hunts Point and Mott Haven
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,6/1/2009,23,107,10474,Bronx,Hunts Point and Mott Haven
176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/1/2012,21.54,107,10454,Bronx,Hunts Point and Mott Haven
176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/1/2012,21.54,107,10455,Bronx,Hunts Point and Mott Haven
176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/1/2012,21.54,107,10459,Bronx,Hunts Point and Mott Haven
176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/1/2012,21.54,107,10474,Bronx,Hunts Point and Mott Haven
740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,1/1/2021,18.52,107,10454,Bronx,Hunts Point and Mott Haven
740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,1/1/2021,18.52,107,10455,Bronx,Hunts Point and Mott Haven
740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,1/1/2021,18.52,107,10459,Bronx,Hunts Point and Mott Haven
740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,1/1/2021,18.52,107,10474,Bronx,Hunts Point and Mott Haven
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,6/1/2009,21.39,207,11225,Brooklyn,Flatbush
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,6/1/2009,21.39,207,11226,Brooklyn,Flatbush
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,6/1/2009,21.39,207,11203,Brooklyn,Flatbush
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,6/1/2009,21.39,207,11210,Brooklyn,Flatbush
336531,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2014-15,12/1/2014,25.7,207,11225,Brooklyn,Flatbush
336531,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2014-15,12/1/2014,25.7,207,11226,Brooklyn,Flatbush
336531,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2014-15,12/1/2014,25.7,207,11203,Brooklyn,Flatbush
336531,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2014-15,12/1/2014,25.7,207,11210,Brooklyn,Flatbush
175347,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2010-11,12/1/2010,26.24,208,11234,Brooklyn,Canarsie and Flatlands
175347,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2010-11,12/1/2010,26.24,208,11236,Brooklyn,Canarsie and Flatlands
175347,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2010-11,12/1/2010,26.24,208,11239,Brooklyn,Canarsie and Flatlands
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11414,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11415,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11416,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11417,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11418,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11419,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11420,Queens,Southwest Queens
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,6/1/2009,18.59,407,11421,Queens,Southwest Queens
175297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,12/1/2009,26.48,107,10454,Bronx,Hunts Point and Mott Haven
175297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,12/1/2009,26.48,107,10455,Bronx,Hunts Point and Mott Haven
175297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,12/1/2009,26.48,107,10459,Bronx,Hunts Point and Mott Haven
